<<<<<<< HEAD
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
2.120000000000000000e+02 1.100000000000000000e+02 -0.000000000000000000e+00
=======
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
1.000000000000000000e+02 6.000000000000000000e+02 -1.047197551196597631e+00
>>>>>>> 5e326a6ae048ef153932acd0e92bd8af9e465ac8
